ClbWaveGap	ClbWavePhase	ClbPhaseMode	ClbWaveTaper	ClbWaveTemperature	ClbXpos	ClbZpos	ClbUndCenter	ClbWaveBx	ClbDeltaBx	ClbWaveBz	ClbDeltaBz	ClbPhaseError	ClbPeaksBxTaper	ClbPeaksBzTaper	ClbWaveIx	ClbWaveIz	ClbWaveI2x	ClbWaveI2z	ClbFundEng	ClbLambdaL	ClbWaveMultiVDip	ClbWaveVQuad	ClbWaveVSex	ClbWaveVOct	ClbWaveMultiHDip	ClbWaveHQuad	ClbWaveHSex	ClbWaveHOct	ClbWaveCoilI1	ClbWaveCoilI2	ClbWaveCoilI3	ClbWaveCoilI4	ClbOutFileInt	ClbOutFileFld	ClbPhaseIntegral
200.00	0	0	0.000	23	-5	-1	0.847302	0.002848	0.3794	0.783168	0.0082	5.04	2.92	-10.16	-0.182	-0.127	-0.074	-0.070	1678.672	7.3883e-10	-12.94	17.40	-64.84	-1.2e+02	-12.95	41.69	267.40	-2.9e+02	1.5428	-0.0422	0.5590	0.0857	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2197.222
200.00	1	0	0.000	23	-5	-1	0.847025	0.004351	0.2480	0.780152	0.0127	5.14	1.96	-11.49	-0.186	-0.127	-0.075	-0.128	1679.558	7.3835e-10	-12.41	19.12	-61.47	-1.4e+02	-13.12	41.65	267.01	-2.9e+02	1.7879	-0.2568	0.3381	0.3275	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2194.715
200.00	2	0	0.000	23	-5	-1	0.846752	0.005509	0.1959	0.770037	0.0125	5.28	1.33	-20.34	-0.190	-0.136	-0.073	-0.084	1712.063	7.2438e-10	-13.63	17.22	-69.14	-1.3e+02	-13.85	41.31	267.22	-2.7e+02	1.6558	-0.1123	0.5683	0.1326	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2122.040
200.00	3	0	0.000	23	-5	-1	0.84649	0.006274	0.1724	0.750464	0.0120	5.35	0.81	-5.51	-0.226	-0.114	-0.068	-0.113	1776.447	6.9810e-10	-11.37	15.52	-64.29	-1.2e+02	-17.14	42.45	266.96	-2.7e+02	1.7733	-0.0481	0.4856	0.4533	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1985.097
200.00	4	0	0.000	23	-5	-1	0.846258	0.006482	0.1662	0.710530	0.0112	5.28	0.24	-6.04	-0.197	-0.129	-0.063	-0.141	1874.066	6.6173e-10	-12.62	16.97	-58.57	-1.3e+02	-14.46	43.72	257.36	-2.7e+02	1.8459	-0.3177	0.3607	0.4371	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1795.403
200.00	5	0	0.000	23	-5	-1	0.846066	0.006140	0.1753	0.663601	0.0109	5.42	-0.21	-9.75	-0.191	-0.125	-0.059	-0.093	2006.406	6.1826e-10	-12.41	18.26	-62.58	-1.3e+02	-13.89	45.41	263.64	-2.6e+02	1.6094	-0.1438	0.5331	0.2525	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1568.219
200.00	6	0	0.000	23	-5	-1	0.845927	0.005143	0.2095	0.609948	0.0108	5.70	-0.53	-11.19	-0.247	-0.088	-0.051	-0.166	2172.457	5.7103e-10	-8.65	17.41	-59.53	-1.3e+02	-19.57	46.61	264.19	-2.7e+02	1.8897	-0.1402	0.2800	0.8865	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1321.384
200.00	7	0	0.000	23	-5	-1	0.845869	0.003346	0.3202	0.551102	0.0112	6.11	-0.55	-11.07	-0.238	-0.087	-0.048	-0.106	2367.181	5.2426e-10	-8.51	17.91	-63.41	-1.2e+02	-18.41	49.76	259.99	-3e+02	1.6139	0.0638	0.4963	0.6316	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1076.774
200.00	8	0	0.000	23	-5	-1	0.845924	0.001001	0.7407	0.490479	0.0128	6.88	-1.33	-10.21	-0.226	-0.084	-0.044	-0.173	2574.168	4.8213e-10	-8.37	16.67	-59.52	-1.2e+02	-17.51	48.99	262.25	-2.8e+02	1.8193	-0.2371	0.1919	0.8878	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	856.174
200.00	9	0	0.000	23	-5	-1	0.84613	0.003067	0.3573	0.434743	0.0162	7.66	0.17	-9.12	-0.242	-0.076	-0.049	-0.116	2769.935	4.4820e-10	-7.35	16.54	-65.98	-1.1e+02	-18.88	44.63	262.96	-2.7e+02	1.6207	0.0870	0.4163	0.7224	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	678.193
200.00	10	0	0.000	23	-5	-1	0.846517	0.007523	0.1484	0.394183	0.0198	8.54	-0.35	-15.31	-0.203	-0.075	-0.063	-0.138	2918.804	4.2537e-10	-7.49	18.95	-63.68	-1.2e+02	-15.12	42.31	263.55	-2.7e+02	1.6323	-0.0703	0.1741	0.6596	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	557.941
200.00	11	0	0.000	23	-5	-1	0.847082	0.011679	0.0960	0.370345	0.0227	9.07	-0.74	-26.71	-0.188	-0.061	-0.090	-0.133	2986.169	4.1579e-10	-6.01	19.38	-63.38	-1.2e+02	-13.68	38.40	265.82	-2.6e+02	1.5887	0.0374	0.0121	0.5794	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	506.674
200.00	0	0	0.000	23	0	-1	0.8472	0.007021	0.1386	0.785742	0.0084	5.06	-2.08	-18.68	-0.023	-0.192	0.060	0.136	1670.267	7.4264e-10	-18.72	-2.83	68.42	-12	-1.27	-86.62	-37.67	6.8e+02	0.1330	-0.3428	1.5559	-1.0750	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2217.947
200.00	1	0	0.000	23	0	-1	0.846919	0.008460	0.1147	0.784206	0.0130	5.07	-2.66	-19.02	-0.014	-0.178	0.061	0.132	1671.552	7.4204e-10	-17.47	0.23	71.30	-39	-0.68	-85.36	-42.49	6.7e+02	0.0629	-0.3306	1.4601	-1.0261	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2215.032
200.00	2	0	0.000	23	0	-1	0.84664	0.009802	0.0990	0.775589	0.0128	5.12	-3.27	-26.03	-0.022	-0.198	0.068	0.068	1704.151	7.2779e-10	-19.48	1.62	71.14	-58	-1.25	-86.06	-45.03	6.9e+02	0.4027	-0.6660	1.3370	-0.8113	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2140.812
200.00	3	0	0.000	23	0	-1	0.846376	0.010907	0.0885	0.751209	0.0118	5.04	-3.50	-5.47	-0.055	-0.174	0.066	0.074	1769.393	7.0100e-10	-17.18	0.14	72.52	-30	-4.63	-86.60	-36.12	7e+02	0.3843	-0.4394	1.3544	-0.6494	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2001.107
200.00	4	0	0.000	23	0	-1	0.846141	0.011706	0.0821	0.712160	0.0114	4.97	-4.04	-10.58	-0.027	-0.180	0.073	0.081	1868.084	6.6401e-10	-17.82	-0.34	70.53	-30	-1.77	-83.17	-34.59	6.7e+02	0.2803	-0.5397	1.3436	-0.7634	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1808.085
200.00	5	0	0.000	23	0	-1	0.845944	0.012236	0.0782	0.665999	0.0111	5.12	-4.40	-12.82	-0.009	-0.182	0.075	0.082	2001.690	6.1980e-10	-17.97	-1.57	75.60	-14	0.26	-82.16	-41.00	6.8e+02	0.2204	-0.6015	1.3089	-0.8222	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1577.041
200.00	6	0	0.000	23	0	-1	0.8458	0.012421	0.0767	0.612519	0.0110	5.44	-4.54	-12.74	-0.060	-0.152	0.081	0.064	2170.552	5.7173e-10	-14.73	-2.82	75.35	-18	-5.03	-83.06	-45.09	6.9e+02	0.3075	-0.4212	1.2804	-0.4640	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1325.651
200.00	7	0	0.000	23	0	-1	0.845738	0.012125	0.0780	0.553077	0.0113	5.92	-4.53	-11.62	-0.049	-0.145	0.085	0.057	2368.138	5.2417e-10	-13.92	1.21	77.30	-42	-3.93	-80.59	-34.29	6.7e+02	0.2606	-0.4635	1.2039	-0.4257	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1076.765
200.00	8	0	0.000	23	0	-1	0.845791	0.011196	0.0836	0.490977	0.0128	6.65	-4.22	-9.75	-0.041	-0.144	0.086	0.064	2579.806	4.8128e-10	-13.85	-0.69	70.43	-31	-3.13	-85.58	-41.01	7.2e+02	0.2022	-0.4550	1.2054	-0.4659	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	852.103
200.00	9	0	0.000	23	0	-1	0.845998	0.009502	0.0977	0.433018	0.0162	7.59	-3.57	-8.77	-0.062	-0.141	0.083	0.031	2779.738	4.4676e-10	-13.42	-0.89	74.25	-40	-5.45	-85.87	-43.86	7e+02	0.3878	-0.5041	1.1186	-0.2728	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	670.888
200.00	10	0	0.000	23	0	-1	0.84639	0.006994	0.1329	0.390487	0.0207	8.28	-2.65	-10.94	-0.039	-0.132	0.064	0.072	2933.058	4.2349e-10	-12.70	-2.39	65.54	-29	-2.96	-88.54	-42.80	7e+02	0.1795	-0.3207	1.1229	-0.5230	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	548.229
200.00	11	0	0.000	23	0	-1	0.846965	0.003752	0.2491	0.367121	0.0232	8.97	-1.71	-25.52	-0.041	-0.120	0.037	0.034	3002.342	4.1373e-10	-11.20	-2.19	66.78	-34	-3.06	-91.51	-43.80	7e+02	0.3673	-0.3379	0.8475	-0.3919	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	495.940
200.00	0	0	0.000	23	5	-1	0.847178	0.010856	0.1151	0.782631	0.0088	4.67	-2.25	-17.48	-0.091	-0.142	0.380	0.114	1675.377	7.3993e-10	-14.06	-6.46	-70.41	-38	-9.37	51.33	94.26	-1.7e+02	-0.7061	-0.9528	2.3942	0.3328	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2203.759
200.00	1	0	0.000	23	5	-1	0.846899	0.012372	0.1018	0.781471	0.0134	4.67	-2.79	-16.25	-0.085	-0.127	0.382	0.101	1676.491	7.3940e-10	-12.50	-7.18	-72.94	-44	-8.52	54.69	89.12	-2.1e+02	-0.7359	-0.9660	2.2654	0.4369	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2201.170
200.00	2	0	0.000	23	5	-1	0.846622	0.014013	0.0908	0.773281	0.0132	4.64	-3.31	-21.91	-0.088	-0.149	0.385	0.045	1708.784	7.2538e-10	-14.84	-8.97	-67.02	-25	-9.14	52.94	90.37	-1.9e+02	-0.4220	-1.2781	2.1529	0.5897	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	2128.091
200.00	3	0	0.000	23	5	-1	0.84636	0.015592	0.0821	0.748488	0.0122	4.67	-3.49	-3.21	-0.116	-0.116	0.389	0.100	1773.449	6.9901e-10	-11.52	-6.84	-76.45	-31	-11.72	52.79	85.90	-1.7e+02	-0.7039	-0.8548	2.3320	0.5958	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1990.543
200.00	4	0	0.000	23	5	-1	0.846127	0.017082	0.0753	0.710089	0.0119	4.44	-4.13	-7.60	-0.084	-0.132	0.392	0.024	1871.001	6.6251e-10	-13.04	-8.79	-73.85	-28	-8.32	54.06	89.14	-1.8e+02	-0.4439	-1.3253	2.0120	0.7494	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1800.108
200.00	5	0	0.000	23	5	-1	0.845932	0.018559	0.0695	0.664591	0.0116	4.59	-4.68	-9.29	-0.060	-0.129	0.395	0.081	2003.123	6.1891e-10	-12.60	-8.68	-76.05	-12	-6.17	54.44	92.29	-1.8e+02	-0.7640	-1.1636	2.1628	0.4715	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1572.179
200.00	6	0	0.000	23	5	-1	0.845791	0.019970	0.0645	0.611769	0.0115	4.75	-5.09	-8.87	-0.107	-0.095	0.404	0.017	2169.949	5.7147e-10	-9.51	-6.29	-74.89	-43	-11.09	56.03	84.73	-1.9e+02	-0.5315	-1.1658	1.9346	1.0267	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1324.017
200.00	7	0	0.000	23	5	-1	0.84573	0.021186	0.0605	0.553093	0.0118	5.12	-5.35	-7.46	-0.088	-0.083	0.406	0.060	2364.345	5.2459e-10	-8.22	-8.15	-77.66	-40	-9.00	56.16	81.32	-2e+02	-0.8159	-1.0083	2.0023	0.8546	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1078.752
200.00	8	0	0.000	23	5	-1	0.845784	0.022021	0.0574	0.491936	0.0132	5.66	-5.33	-5.85	-0.095	-0.094	0.408	0.015	2571.644	4.8238e-10	-9.49	-11.25	-76.70	-27	-9.57	54.50	85.51	-1.8e+02	-0.5751	-1.2204	1.9002	1.0133	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	857.657
200.00	9	0	0.000	23	5	-1	0.84599	0.022229	0.0559	0.434665	0.0163	6.52	-4.87	-5.19	-0.138	-0.090	0.402	0.052	2768.331	4.4826e-10	-8.96	-10.03	-77.28	-46	-13.70	49.81	94.78	-1.5e+02	-0.5984	-0.9113	2.1364	0.9956	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	678.549
200.00	10	0	0.000	23	5	-1	0.846377	0.021520	0.0570	0.392692	0.0206	7.00	-3.87	-7.58	-0.125	-0.091	0.386	0.002	2918.234	4.2527e-10	-9.18	-10.84	-78.66	-52	-12.35	48.57	93.97	-1.8e+02	-0.3833	-1.1040	1.8626	1.1029	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	557.478
200.00	11	0	0.000	23	5	-1	0.84694	0.019062	0.0648	0.369806	0.0229	7.69	-3.04	-22.03	-0.137	-0.078	0.358	0.056	2986.838	4.1559e-10	-7.78	-10.00	-76.84	-72	-13.74	45.86	94.29	-1.7e+02	-0.5366	-0.7255	1.9753	0.8974	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	505.686
