ClbWaveGap	ClbWavePhase	ClbPhaseMode	ClbWaveTaper	ClbWaveTemperature	ClbXpos	ClbZpos	ClbUndCenter	ClbWaveBx	ClbDeltaBx	ClbWaveBz	ClbDeltaBz	ClbPhaseError	ClbPeaksBxTaper	ClbPeaksBzTaper	ClbWaveIx	ClbWaveIz	ClbWaveI2x	ClbWaveI2z	ClbFundEng	ClbLambdaL	ClbWaveMultiVDip	ClbWaveVQuad	ClbWaveVSex	ClbWaveVOct	ClbWaveMultiHDip	ClbWaveHQuad	ClbWaveHSex	ClbWaveHOct	ClbWaveCoilI1	ClbWaveCoilI2	ClbWaveCoilI3	ClbWaveCoilI4	ClbOutFileInt	ClbOutFileFld	ClbPhaseIntegral
200.00	0	0	0.000	23	12	-1	0.847202	0.037259	0.0817	0.702113	0.0100	8.15	7.87	1.36	-0.261	-0.318	1.185	-0.118	1868.983	6.5984e-10	-34.28	-16.91	295.02	1.1e+03	-8.80	240.66	-460.61	-5.2e+03	-0.8913	-4.4065	5.0095	3.3688	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1793.156
200.00	1	0	0.000	23	12	-1	0.846917	0.040364	0.0752	0.698459	0.0142	8.17	4.82	5.39	-0.259	-0.307	1.187	-0.136	1875.631	6.5746e-10	-33.49	-19.18	286.58	1.1e+03	-8.82	235.68	-459.11	-5.1e+03	-0.8765	-4.4453	4.8958	3.4828	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1780.658
200.00	2	0	0.000	23	12	-1	0.846635	0.044700	0.0676	0.688065	0.0141	8.99	4.08	1.57	-0.261	-0.325	1.191	-0.079	1914.442	6.4417e-10	-34.94	-15.09	286.19	1.1e+03	-8.63	232.26	-448.43	-5e+03	-1.0404	-4.2980	5.2114	3.2021	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1711.297
200.00	3	0	0.000	23	12	-1	0.84637	0.049850	0.0605	0.663073	0.0134	9.19	3.25	10.25	-0.285	-0.285	1.196	-0.075	1985.508	6.2116e-10	-31.18	-14.77	278.56	1.1e+03	-11.40	236.64	-441.23	-5.1e+03	-1.1575	-4.0633	5.1463	3.4367	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1590.944
200.00	4	0	0.000	23	12	-1	0.846136	0.055895	0.0536	0.625148	0.0131	9.15	2.36	8.96	-0.241	-0.304	1.203	-0.129	2087.115	5.9055e-10	-33.26	-16.91	275.76	1.1e+03	-6.69	242.59	-452.31	-5.1e+03	-1.0156	-4.5061	4.9010	3.4587	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1431.006
200.00	5	0	0.000	23	12	-1	0.845943	0.063250	0.0470	0.581071	0.0128	9.19	1.14	9.83	-0.209	-0.301	1.208	-0.137	2219.935	5.5502e-10	-32.43	-13.91	282.09	1.1e+03	-3.69	237.22	-467.31	-5.1e+03	-1.1033	-4.6353	4.7751	3.4263	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1245.007
200.00	6	0	0.000	23	12	-1	0.845808	0.071990	0.0411	0.530662	0.0128	9.32	-0.56	11.77	-0.267	-0.286	1.209	-0.126	2383.521	5.1704e-10	-30.87	-18.69	282.75	1.1e+03	-9.34	245.93	-428.96	-5.1e+03	-1.0441	-4.3606	4.9336	3.6171	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1046.133
200.00	7	0	0.000	23	12	-1	0.845762	0.081941	0.0360	0.475522	0.0133	9.78	-2.08	13.10	-0.254	-0.283	1.214	-0.095	2565.929	4.8024e-10	-30.66	-19.85	277.07	1e+03	-7.87	245.27	-441.80	-5.1e+03	-1.2299	-4.2833	5.0217	3.4824	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	853.302
200.00	8	0	0.000	23	12	-1	0.845843	0.092608	0.0318	0.419086	0.0149	9.66	-3.54	13.05	-0.270	-0.298	1.209	-0.104	2751.699	4.4778e-10	-32.26	-21.04	278.31	1.1e+03	-9.97	239.45	-434.69	-5.1e+03	-1.0764	-4.3130	5.0788	3.4881	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	683.043
200.00	9	0	0.000	23	12	-1	0.846092	0.102958	0.0284	0.368324	0.0184	9.65	-3.67	9.01	-0.329	-0.294	1.199	-0.126	2917.231	4.2245e-10	-32.12	-20.89	281.54	1.1e+03	-15.54	240.54	-416.25	-5.1e+03	-0.7984	-4.1864	5.1228	3.7376	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	549.964
200.00	10	0	0.000	23	12	-1	0.846544	0.110632	0.0257	0.333745	0.0220	10.40	-1.68	-1.19	-0.323	-0.291	1.182	-0.120	3032.806	4.0638e-10	-31.74	-17.23	276.28	1.1e+03	-14.98	236.95	-450.78	-5.1e+03	-0.8039	-4.1138	5.0646	3.6560	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	465.209
200.00	11	0	0.000	23	12	-1	0.847167	0.108555	0.0260	0.318084	0.0244	10.67	2.07	-17.38	-0.353	-0.284	1.152	-0.097	3074.925	4.0104e-10	-31.30	-21.29	280.79	1.1e+03	-17.98	234.83	-450.19	-5.1e+03	-0.7462	-3.8258	5.1309	3.6002	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	436.319
200.00	0	0	0.000	23	-12	-1	0.847444	0.056919	0.0449	0.693914	0.0097	6.17	-23.86	-10.39	0.015	-0.204	0.368	-0.167	1911.934	6.4829e-10	-19.54	-64.69	202.99	74	7.61	-167.47	283.14	1.3e+03	0.3851	-2.5966	1.1803	0.8543	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1723.008
200.00	1	0	0.000	23	-12	-1	0.847149	0.057061	0.0444	0.684419	0.0138	6.36	-20.83	-12.10	0.002	-0.192	0.367	-0.154	1924.985	6.4393e-10	-18.36	-66.38	204.85	78	6.41	-164.79	283.09	1.3e+03	0.3234	-2.4578	1.2175	0.8895	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1700.294
200.00	2	0	0.000	23	-12	-1	0.846863	0.058468	0.0428	0.668908	0.0136	6.60	-19.29	-19.08	-0.012	-0.208	0.369	-0.160	1969.708	6.2927e-10	-20.07	-64.24	198.58	74	5.05	-165.58	279.96	1.3e+03	0.4496	-2.5102	1.3070	0.8900	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1624.020
200.00	3	0	0.000	23	-12	-1	0.846592	0.061185	0.0405	0.646244	0.0135	6.96	-17.57	-25.11	-0.060	-0.185	0.373	-0.116	2047.157	6.0554e-10	-17.67	-61.13	194.20	74	0.26	-161.99	289.18	1.3e+03	0.3109	-2.1111	1.5455	0.9594	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1500.279
200.00	4	0	0.000	23	-12	-1	0.84635	0.064557	0.0377	0.608187	0.0127	6.81	-14.86	-8.35	-0.057	-0.203	0.380	-0.168	2156.799	5.7470e-10	-19.40	-60.31	205.89	63	0.37	-157.94	303.06	1.2e+03	0.5598	-2.4175	1.4244	1.1098	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1339.657
200.00	5	0	0.000	23	-12	-1	0.846155	0.069221	0.0348	0.560524	0.0125	6.78	-13.20	-9.56	-0.064	-0.213	0.381	-0.119	2298.628	5.3934e-10	-20.49	-57.27	196.71	62	-0.21	-154.58	309.35	1.2e+03	0.4221	-2.2486	1.6790	0.8976	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1155.041
200.00	6	0	0.000	23	-12	-1	0.846024	0.075842	0.0315	0.507712	0.0127	6.94	-12.21	-9.50	-0.124	-0.173	0.388	-0.130	2469.127	5.0220e-10	-16.67	-52.55	199.20	34	-6.20	-157.78	309.14	1.2e+03	0.4621	-1.9724	1.6707	1.3018	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	961.057
200.00	7	0	0.000	23	-12	-1	0.845986	0.084657	0.0282	0.451474	0.0136	7.23	-10.87	-8.06	-0.121	-0.188	0.396	-0.176	2657.533	4.6659e-10	-17.98	-53.48	196.84	71	-6.08	-155.58	316.67	1.2e+03	0.6730	-2.2482	1.5600	1.4379	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	775.125
200.00	8	0	0.000	23	-12	-1	0.846083	0.095714	0.0251	0.395701	0.0163	7.56	-10.19	-6.54	-0.108	-0.187	0.402	-0.157	2846.008	4.3575e-10	-18.19	-53.06	205.48	72	-5.29	-152.91	327.58	1.1e+03	0.5408	-2.2238	1.6165	1.3406	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	613.759
200.00	9	0	0.000	23	-12	-1	0.846366	0.108677	0.0226	0.347833	0.0210	8.05	-8.87	-6.14	-0.106	-0.180	0.399	-0.133	3008.861	4.1223e-10	-17.61	-51.18	199.90	54	-4.72	-159.24	325.30	1.2e+03	0.4176	-2.0959	1.6686	1.2630	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	490.370
200.00	10	0	0.000	23	-12	-1	0.846879	0.118853	0.0210	0.311726	0.0255	8.72	-9.81	-16.82	-0.056	-0.185	0.387	-0.155	3116.427	3.9798e-10	-18.09	-52.27	198.74	71	0.23	-154.17	320.44	1.1e+03	0.4128	-2.3164	1.4183	1.1460	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	415.361
200.00	11	0	0.000	23	-12	-1	0.847548	0.122651	0.0212	0.303547	0.0278	9.20	-9.44	-25.14	-0.013	-0.175	0.370	-0.168	3144.734	3.9438e-10	-17.07	-54.54	205.86	86	4.89	-160.56	310.48	1.2e+03	0.3464	-2.4034	1.1515	1.0634	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	395.784
200.00	0	0	0.000	23	5	0	0.847227	0.008216	0.1410	0.707126	0.0082	2.65	-0.66	-2.40	-0.124	-0.176	0.386	0.060	1881.582	6.5846e-10	-17.74	-12.96	6.86	29	-12.06	80.91	39.43	-6.8e+02	-0.2707	-1.2270	2.4301	0.5235	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1781.297
200.00	1	0	0.000	23	5	0	0.846823	0.009941	0.1174	0.705773	0.0128	2.85	-2.21	-6.33	-0.097	-0.184	0.393	0.062	1882.584	6.5802e-10	-18.13	-13.16	10.12	51	-9.53	80.28	40.93	-6.7e+02	-0.3506	-1.3455	2.4136	0.4301	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1779.275
200.00	2	0	0.000	23	5	0	0.846413	0.011635	0.1013	0.695349	0.0126	3.01	-2.68	4.34	-0.115	-0.166	0.394	-0.029	1923.102	6.4409e-10	-16.41	-14.49	5.46	50	-11.28	78.49	42.41	-6.6e+02	-0.0086	-1.5860	2.0286	0.9195	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1706.682
200.00	3	0	0.000	23	5	0	0.846014	0.013092	0.0907	0.662961	0.0121	3.19	-3.43	-5.67	-0.089	-0.137	0.395	-0.001	2004.949	6.1780e-10	-13.55	-16.08	-2.65	57	-8.58	80.90	38.11	-6.8e+02	-0.3184	-1.4337	1.9534	0.8505	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1569.652
200.00	4	0	0.000	23	5	0	0.845629	0.014568	0.0822	0.625628	0.0122	3.23	-4.29	-12.08	-0.074	-0.153	0.399	-0.069	2129.910	5.8145e-10	-15.15	-14.00	2.99	34	-7.26	76.71	37.17	-6.4e+02	-0.0371	-1.8279	1.7162	1.0246	1991d-TPF-UFCM_20200508-int0.txt	1991d-TPF-UFCM_20200508-fld0.txt	1380.060
